id,label,x,y
02,dolnoslaskie,-3391,-1521
02,dolnoslaskie,-3422,-1525
02,dolnoslaskie,-3499,-1445
02,dolnoslaskie,-3494,-1389
02,dolnoslaskie,-3570,-1315
02,dolnoslaskie,-3585,-1277
02,dolnoslaskie,-3616,-1256
02,dolnoslaskie,-3624,-1210
02,dolnoslaskie,-3656,-1183
02,dolnoslaskie,-3675,-1187
02,dolnoslaskie,-3712,-1141
02,dolnoslaskie,-3710,-1092
02,dolnoslaskie,-3646,-1043
02,dolnoslaskie,-3607,-1036
02,dolnoslaskie,-3558,-942
02,dolnoslaskie,-3651,-856
02,dolnoslaskie,-3712,-854
02,dolnoslaskie,-3708,-903
02,dolnoslaskie,-3779,-861
02,dolnoslaskie,-3823,-918
02,dolnoslaskie,-3860,-915
02,dolnoslaskie,-3852,-863
02,dolnoslaskie,-3926,-844
02,dolnoslaskie,-3958,-766
02,dolnoslaskie,-4029,-778
02,dolnoslaskie,-4218,-686
02,dolnoslaskie,-4235,-712
02,dolnoslaskie,-4256,-702
02,dolnoslaskie,-4261,-648
02,dolnoslaskie,-4322,-563
02,dolnoslaskie,-4306,-515
02,dolnoslaskie,-4356,-466
02,dolnoslaskie,-4380,-480
02,dolnoslaskie,-4386,-461
02,dolnoslaskie,-4415,-480
02,dolnoslaskie,-4486,-443
02,dolnoslaskie,-4521,-468
02,dolnoslaskie,-4521,-485
02,dolnoslaskie,-4496,-485
02,dolnoslaskie,-4493,-510
02,dolnoslaskie,-4516,-577
02,dolnoslaskie,-4500,-610
02,dolnoslaskie,-4523,-615
02,dolnoslaskie,-4550,-610
02,dolnoslaskie,-4580,-620
02,dolnoslaskie,-4641,-598
02,dolnoslaskie,-4644,-549
02,dolnoslaskie,-4592,-504
02,dolnoslaskie,-4594,-475
02,dolnoslaskie,-4557,-400
02,dolnoslaskie,-4518,-407
02,dolnoslaskie,-4505,-328
02,dolnoslaskie,-4476,-249
02,dolnoslaskie,-4498,-225
02,dolnoslaskie,-4472,-166
02,dolnoslaskie,-4522,-74
02,dolnoslaskie,-4493,-60
02,dolnoslaskie,-4349,49
02,dolnoslaskie,-4260,-15
02,dolnoslaskie,-4228,120
02,dolnoslaskie,-4134,118
02,dolnoslaskie,-4058,20
02,dolnoslaskie,-3991,153
02,dolnoslaskie,-3925,162
02,dolnoslaskie,-3900,288
02,dolnoslaskie,-3801,384
02,dolnoslaskie,-3790,421
02,dolnoslaskie,-3756,421
02,dolnoslaskie,-3699,374
02,dolnoslaskie,-3657,372
02,dolnoslaskie,-3670,315
02,dolnoslaskie,-3634,315
02,dolnoslaskie,-3657,265
02,dolnoslaskie,-3602,235
02,dolnoslaskie,-3581,285
02,dolnoslaskie,-3526,338
02,dolnoslaskie,-3520,370
02,dolnoslaskie,-3493,403
04,kujawsko-pomorskie,-1310,1810
04,kujawsko-pomorskie,-1355,1771
04,kujawsko-pomorskie,-1388,1760
04,kujawsko-pomorskie,-1352,1667
04,kujawsko-pomorskie,-1365,1625
04,kujawsko-pomorskie,-1357,1591
04,kujawsko-pomorskie,-1434,1622
04,kujawsko-pomorskie,-1421,1582
04,kujawsko-pomorskie,-1461,1553
04,kujawsko-pomorskie,-1508,1556
04,kujawsko-pomorskie,-1476,1492
04,kujawsko-pomorskie,-1530,1452
04,kujawsko-pomorskie,-1527,1428
04,kujawsko-pomorskie,-1466,1383
04,kujawsko-pomorskie,-1463,1322
04,kujawsko-pomorskie,-1513,1330
04,kujawsko-pomorskie,-1513,1270
04,kujawsko-pomorskie,-1556,1235
04,kujawsko-pomorskie,-1518,1184
04,kujawsko-pomorskie,-1564,1118
04,kujawsko-pomorskie,-1530,1097
04,kujawsko-pomorskie,-1571,1031
04,kujawsko-pomorskie,-1601,1033
04,kujawsko-pomorskie,-1582,975
04,kujawsko-pomorskie,-1627,922
04,kujawsko-pomorskie,-1670,917
04,kujawsko-pomorskie,-1699,924
04,kujawsko-pomorskie,-1739,906
04,kujawsko-pomorskie,-1779,911
04,kujawsko-pomorskie,-1818,980
04,kujawsko-pomorskie,-1839,940
04,kujawsko-pomorskie,-1940,914
04,kujawsko-pomorskie,-1943,945
04,kujawsko-pomorskie,-2006,1041
04,kujawsko-pomorskie,-2083,1087
04,kujawsko-pomorskie,-2118,1087
04,kujawsko-pomorskie,-2129,1067
04,kujawsko-pomorskie,-2177,1065
04,kujawsko-pomorskie,-2200,1136
04,kujawsko-pomorskie,-2256,1078
04,kujawsko-pomorskie,-2304,1078
04,kujawsko-pomorskie,-2370,1116
04,kujawsko-pomorskie,-2383,1163
04,kujawsko-pomorskie,-2439,1158
04,kujawsko-pomorskie,-2587,1293
04,kujawsko-pomorskie,-2606,1275
04,kujawsko-pomorskie,-2659,1248
04,kujawsko-pomorskie,-2691,1291
04,kujawsko-pomorskie,-2686,1339
04,kujawsko-pomorskie,-2770,1314
04,kujawsko-pomorskie,-2800,1325
04,kujawsko-pomorskie,-2788,1373
04,kujawsko-pomorskie,-2834,1388
04,kujawsko-pomorskie,-2834,1423
04,kujawsko-pomorskie,-2773,1431
04,kujawsko-pomorskie,-2760,1497
04,kujawsko-pomorskie,-2786,1596
04,kujawsko-pomorskie,-2852,1627
04,kujawsko-pomorskie,-2897,1617
04,kujawsko-pomorskie,-2908,1643
04,kujawsko-pomorskie,-2884,1680
04,kujawsko-pomorskie,-2869,1789
04,kujawsko-pomorskie,-2850,1805
04,kujawsko-pomorskie,-2871,1823
04,kujawsko-pomorskie,-2869,1890
04,kujawsko-pomorskie,-2813,1903
04,kujawsko-pomorskie,-2795,1956
04,kujawsko-pomorskie,-2892,2073
04,kujawsko-pomorskie,-2864,2102
04,kujawsko-pomorskie,-2861,2134
04,kujawsko-pomorskie,-2802,2207
04,kujawsko-pomorskie,-2780,2303
04,kujawsko-pomorskie,-2751,2352
04,kujawsko-pomorskie,-2717,2342
04,kujawsko-pomorskie,-2714,2309
